Student_ID,Student_name,Age,Gender,Grade,School,SocialCategory,Area,Attendance_percentage,SocialEconomic status,distance_to_school,previous_year_result,scholarship_status,dropout_score,dropout,DropoutReason
S0783,Ishaan Singh,15,male,9,private aided,OBC,urban,89.4,Medium,0.15,pass,no,10.21783317,no,
S0514,Siddharth Sharma,15,female,9,private unaided,general,rural,97.2,Low,8.44,pass,no,21.30848855,yes,Early Marriage
S0068,Sonal Kumar,14,female,8,private unaided,OBC,urban,74.7,High,0.06,pass,no,13.4889598,no,
S0775,Aarav Reddy,14,male,8,government,SC,urban,81.5,Medium,2.2,pass,yes,15.66887197,no,
S1948,Divya Kumar,15,male,9,private aided,SC,urban,60.9,Medium,0.11,pass,no,13.78241464,no,
S1904,Riya Singh,15,female,9,private aided,SC,urban,63.4,Medium,1.99,pass,yes,13.88897276,no,
S1737,Neha Gupta,14,male,8,private aided,SC,rural,84.3,Low,0.63,pass,no,15.47546843,no,
S1930,Ishaan Joseph,16,male,10,private aided,ST,urban,80,Medium,0.65,pass,no,11.31356567,no,
S1458,Kavya Naik,15,female,9,private unaided,OBC,rural,61.7,Low,1.75,fail,no,28.96709563,yes,Household Work
S1066,Ishaan Naik,16,male,10,private aided,OBC,urban,70.1,Low,0.23,pass,yes,13.57636249,no,
S0602,Sonal Patel,15,female,9,private aided,OBC,rural,55,Medium,1.95,fail,no,29.78573785,yes,Lack of Interest
S1014,Siddharth Singh,15,male,9,private unaided,SC,rural,95.3,Low,0.29,pass,no,13.7656328,no,
S1703,Sonal Joseph,15,female,9,private aided,SC,urban,68,Low,0.35,pass,no,14.63504198,no,
S0505,Priya Joseph,15,male,9,private unaided,general,urban,72.9,Low,0.7,pass,no,17.99397438,no,
S0595,Priya Singh,14,female,8,government,general,rural,81.3,Low,1.61,fail,no,20.88643465,yes,Child Labour
S0621,Sneha Iyer,14,female,8,government,OBC,rural,59.5,Medium,2.23,fail,no,22.93724309,yes,Household Work
S1898,Arjun Reddy,14,female,8,private unaided,OBC,urban,77.1,Medium,4.23,pass,no,16.70977277,no,
S1150,Neha Sharma,14,male,8,private unaided,OBC,rural,59.3,Medium,3.29,fail,no,26.31995705,yes,Early Marriage
S0658,Anjali Iyer,16,female,10,private aided,general,urban,80.4,Low,0.78,pass,no,11.84190448,no,
S1115,Arjun Joseph,16,male,10,government,ST,urban,81.3,Medium,1.28,pass,no,10.30566032,no,
S1461,Maya Joseph,15,male,9,private unaided,SC,urban,74.4,Low,0.61,pass,no,17.16921814,no,
S0310,Vikram Kumar,16,female,10,government,OBC,rural,81.8,High,2.22,pass,no,11.75078084,no,
S0350,Vikram Gupta,16,female,10,government,general,rural,63.3,High,0.65,pass,no,7.554883988,no,
S0757,Aditya Joseph,15,male,9,private aided,general,urban,75.7,Medium,5.06,pass,no,14.7747176,no,
S0665,Divya Iyer,14,male,8,private aided,general,urban,94.1,High,0.74,pass,no,9.442917209,no,
S0855,Kavya Singh,16,male,10,government,general,rural,56.7,Medium,6.32,fail,yes,27.48381704,yes,Household Work
S0616,Siddharth Reddy,14,female,8,private unaided,OBC,urban,89.1,Medium,3.07,pass,no,14.36805355,no,
S0726,Pooja Iyer,16,male,10,private aided,OBC,urban,58,Medium,0.9,pass,no,15.31794126,no,
S1022,Rahul Patel,14,male,8,government,OBC,urban,57.5,Low,0.01,pass,no,16.3129268,no,
S0164,Sonal Kumar,15,male,9,private unaided,ST,rural,57.8,Medium,7.77,fail,no,34.9678325,yes,Household Work
S0827,Ishaan Sharma,16,female,10,private aided,OBC,rural,80.9,Low,5.99,pass,no,17.55825584,no,
S1788,Priya Patel,14,male,8,private aided,SC,urban,84.3,Low,3.39,pass,no,15.43962879,no,
S0363,Aditya Joseph,14,female,8,government,OBC,rural,94.1,Medium,10.89,pass,no,18.10912934,no,
S1438,Priya Singh,14,female,8,private aided,OBC,urban,59.9,Low,0.38,pass,yes,15.66444603,no,
S0212,Vikram Naik,16,female,10,government,OBC,urban,71.5,Low,0.19,pass,no,14.7992265,no,
S0006,Priya Gupta,14,male,8,private unaided,SC,rural,84.2,Low,14.01,pass,no,19.75756727,yes,Other
S1216,Aarav Kumar,16,female,10,private aided,ST,urban,65.1,High,0.39,pass,yes,12.07740385,no,
S1576,Kavya Iyer,16,female,10,private unaided,ST,urban,62.5,Medium,0.21,pass,no,13.77165435,no,
S0805,Aarav Joseph,14,male,8,private unaided,OBC,urban,89.2,Medium,0.46,pass,yes,14.8088843,no,
S0447,Siddharth Joseph,15,male,9,private unaided,SC,rural,83.5,Medium,2.41,fail,no,23.36901279,yes,Lack of Interest
S0239,Neha Gupta,14,female,8,private unaided,OBC,rural,75.1,Medium,5.86,fail,no,26.38039794,yes,Other
S1794,Sneha Naik,14,male,8,private unaided,OBC,urban,71,Medium,0.67,pass,no,9.349513053,no,
S0873,Anjali Patel,16,male,10,government,OBC,rural,72.3,Medium,2.75,fail,no,23.40074043,yes,Other
S1155,Ishaan Iyer,14,male,8,private unaided,OBC,urban,80.7,Low,1.21,pass,no,17.98653847,no,
S1691,Kavya Iyer,16,male,10,government,general,urban,63.6,Medium,0.28,pass,no,12.36211393,no,
S0074,Divya Singh,16,female,10,private unaided,ST,urban,84,Medium,1.95,pass,no,16.14805956,no,
S1710,Ananya Naik,15,female,9,private unaided,OBC,rural,70.3,Low,0.19,pass,no,18.99893018,yes,Other
S1758,Rahul Iyer,15,female,9,private aided,OBC,urban,78,High,0.75,pass,no,15.76744856,no,
S0061,Siddharth Joseph,16,female,10,private unaided,OBC,rural,58,Low,0.51,fail,no,28.74171151,yes,Early Marriage
S0720,Manish Gupta,16,male,10,government,SC,urban,79.5,Low,1.66,pass,no,12.08652736,no,
S1037,Manish Gupta,15,female,9,government,SC,urban,94.3,Medium,0.18,pass,no,12.53082479,no,
S0413,Aditya Kumar,14,male,8,private aided,ST,rural,50,Medium,0.52,pass,no,23.48421998,yes,Early Marriage
S1849,Vikram Singh,14,male,8,private aided,SC,rural,64.7,Medium,3.18,pass,no,12.9267298,no,
S0906,Ishaan Joseph,16,male,10,government,SC,rural,65.3,Low,1.24,fail,no,24.31810367,yes,Household Work
S0181,Aarav Joseph,15,female,9,government,SC,urban,74.7,Medium,0.7,pass,yes,15.65635138,no,
S0567,Ananya Patel,16,male,10,private unaided,SC,urban,69.6,High,1.37,pass,no,11.25670731,no,
S1769,Siddharth Patel,16,female,10,government,OBC,urban,80.7,High,0.7,pass,no,14.03839649,no,
S0169,Aarav Patel,14,female,8,private unaided,OBC,rural,94,Medium,2.45,pass,no,11.54394189,no,
S1211,Arjun Singh,15,female,9,government,general,urban,77,Low,2.82,pass,no,14.35314296,no,
S1405,Divya Reddy,15,female,9,private unaided,SC,rural,98.9,Medium,11.01,pass,no,21.15295414,yes,Financial Issues
S1608,Kavya Joseph,15,male,9,private unaided,SC,urban,61.8,Low,0.49,pass,no,12.79471992,no,
S0653,Maya Naik,15,female,9,private unaided,OBC,urban,94.6,Medium,0.17,pass,no,17.14012784,no,
S0361,Aditya Naik,16,female,10,private aided,OBC,urban,65.5,Low,1.29,pass,no,12.02596808,no,
S0909,Maya Singh,14,female,8,government,OBC,urban,77.1,Medium,1.18,pass,yes,14.74421066,no,
S1081,Anjali Gupta,14,male,8,private aided,general,urban,71.9,High,0.51,pass,no,7.297538694,no,
S1575,Vikram Iyer,16,male,10,private aided,general,urban,60.6,Medium,0.4,pass,no,10.38919592,no,
S1544,Aditya Patel,15,male,9,private unaided,SC,urban,69.2,Low,1.37,pass,no,15.22849779,no,
S0252,Vikram Gupta,14,male,8,private aided,OBC,urban,91.4,Medium,0.36,pass,no,12.59322893,no,
S0685,Siddharth Das,14,female,8,private unaided,ST,rural,63.2,Low,0.8,fail,no,26.93655095,yes,Household Work
S1903,Anjali Das,14,female,8,private unaided,general,rural,71.6,Low,0.71,pass,no,12.71869139,no,
S1733,Sonal Singh,16,female,10,private unaided,general,urban,77.7,Low,1.49,pass,no,12.91020658,no,
S0297,Siddharth Patel,14,male,8,government,OBC,rural,58.2,High,0.16,fail,no,20.75667519,yes,Other
S1374,Neha Patel,16,female,10,government,OBC,urban,89,Medium,0.02,pass,no,13.13910991,no,
S1204,Pooja Patel,15,female,9,private aided,ST,rural,81.6,High,1.5,pass,no,14.91187915,no,
